,year,state,district,party,candidatevotes,race_id,clean_namehouse,FEC_ID,clean_namefec,similarity_score
511,2024,PA,1,DEM,202042,PA1_2024,ASHLEY EHASZ,H2PA01099,ASHLEY EHASZ,1.0
514,2024,OR,5,REP,180420,OR5_2024,LORI CHAVEZ-DEREMER,H2OR05209,LORI CHAVEZ-DEREMER,1.0
518,2024,OR,5,LIB,6193,OR5_2024,SONJA FEINTECH,H4OR05353,SONJA FEINTECH,1.0
521,2024,OR,4,REP,166430,OR4_2024,MONIQUE DESPAIN,H4OR04125,MONIQUE DESPAIN,1.0
526,2024,OR,5,DEM,191365,OR5_2024,JANELLE BYNUM,H4OR05304,JANELLE BYNUM,1.0
528,2024,OR,3,REP,84344,OR3_2024,JOANNA HARBOUR,H0OR03174,JOANNA HARBOUR,1.0
529,2024,OR,3,OTHER,10106,OR3_2024,JOE MEYER,H4OR03242,JOE MEYER,1.0
530,2024,OR,3,DEM,226405,OR3_2024,MAXINE DEXTER,H4OR03192,MAXINE DEXTER,1.0
531,2024,OR,1,DEM,241556,OR1_2024,SUZANNE BONAMICI,H2OR01133,SUZANNE BONAMICI,1.0
532,2024,OR,2,REP,224601,OR2_2024,CLIFF BENTZ,H0OR02127,CLIFF BENTZ,1.0
537,2024,OK,5,REP,207636,OK5_2024,STEPHANIE BICE,H0OK05205,STEPHANIE BICE,1.0
542,2024,OK,5,DEM,134471,OK5_2024,MADISON HORN,H4OK05199,MADISON HORN,1.0
546,2010,CT,3,DEM,134544,CT3_2010,ROSA DELAURO,H0CT03072,ROSA DELAURO,1.0
547,2024,OK,4,REP,199962,OK4_2024,TOM COLE,H2OK04055,TOM COLE,1.0
548,2024,OK,3,REP,1,OK3_2024,FRANK LUCAS,H4OK06056,FRANK LUCAS,1.0
549,2024,OK,4,DEM,86641,OK4_2024,MARY BRANNON,H8OK04094,MARY BRANNON,1.0
555,2024,OK,2,REP,238123,OK2_2024,JOSH BRECHEEN,H2OK02315,JOSH BRECHEEN,1.0
556,2024,OK,1,IND,15766,OK1_2024,MARK SANDERS,H4OK01115,MARK SANDERS,1.0
558,2024,OK,2,DEM,68841,OK2_2024,BRANDON WADE,H4OK02196,BRANDON WADE,1.0
559,2024,OK,1,REP,188832,OK1_2024,KEVIN HERN,H8OK01157,KEVIN HERN,1.0
564,2024,OH,15,REP,196338,OH15_2024,MIKE CAREY,H2OH15228,MIKE CAREY,1.0
565,2024,OK,1,DEM,107903,OK1_2024,DENNIS BAKER,H4OK01107,DENNIS BAKER,1.0
567,2024,OH,14,REP,243427,OH14_2024,DAVID JOYCE,H2OH14064,DAVID JOYCE,1.0
570,2024,OH,15,DEM,151411,OH15_2024,ADAM MILLER,H4OH15083,ADAM MILLER,1.0
576,2024,OH,13,DEM,197466,OH13_2024,EMILIA SYKES,H2OH13264,EMILIA SYKES,1.0
577,2024,OH,13,REP,188924,OH13_2024,KEVIN COUGHLIN,H4OH13153,KEVIN COUGHLIN,1.0
578,2024,OH,12,REP,260450,OH12_2024,TROY BALDERSON,H8OH12180,TROY BALDERSON,1.0
583,2024,OH,12,DEM,119738,OH12_2024,JERRAD CHRISTIAN,H4OH12080,JERRAD CHRISTIAN,1.0
588,2024,OH,11,REP,59394,OH11_2024,ALAN RAPOPORT,H4OH11108,ALAN RAPOPORT,1.0
590,2024,OH,11,DEM,236883,OH11_2024,SHONTEL BROWN,H2OH11169,SHONTEL BROWN,1.0
591,2024,OH,10,REP,213695,OH10_2024,MICHAEL TURNER,H2OH03067,MICHAEL TURNER,1.0
594,2024,OH,11,IND,6107,OH11_2024,SEAN FREEMAN,H4OH11074,SEAN FREEMAN,1.0
595,2024,OH,9,DEM,181098,OH9_2024,MARCY KAPTUR,H2OH09031,MARCY KAPTUR,1.0
596,2024,OH,10,DEM,145420,OH10_2024,AMY COX,H4OH10183,AMY COX,1.0
597,2024,OH,10,IND,11631,OH10_2024,MICHAEL HARBAUGH,H4OH10175,MICHAEL HARBAUGH,1.0
601,2024,OH,8,REP,237503,OH8_2024,WARREN DAVIDSON,H6OH08315,WARREN DAVIDSON,1.0
602,2024,OH,9,REP,178716,OH9_2024,DEREK MERRIN,H4OH09169,DEREK MERRIN,1.0
603,2010,CT,4,REP,102030,CT4_2010,DAN DEBICELLA,H0CT04146,DAN DEBICELLA,1.0
606,2010,FL,17,DEM,106361,FL17_2010,FREDERICA WILSON,H0FL17068,FREDERICA WILSON,1.0
607,2010,FL,18,REP,102360,FL18_2010,ILEANA ROS-LEHTINEN,H0FL18025,ILEANA ROS-LEHTINEN,1.0
613,2024,OH,8,DEM,140625,OH8_2024,VANESSA ENOCH,H8OH08097,VANESSA ENOCH,1.0
615,2024,OH,6,DEM,122515,OH6_2024,MICHAEL KRIPCHAK,H4OH06231,MICHAEL KRIPCHAK,1.0
616,2024,OH,7,REP,204494,OH7_2024,MAX MILLER,H2OH16051,MAX MILLER,1.0
618,2024,OH,6,REP,245860,OH6_2024,MICHAEL RULLI,H4OH06165,MICHAEL RULLI,1.0
